Year,State,District,Water Level
2020-21,Odisha,Kendrapara,2 to 5 Pre Monsoon (in mbgl)
2021-22,Arunachal Pradesh,Siang,2 to 5 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Bikaner,>40 Pre Monsoon (in mbgl)
2020-21,Maharashtra,Nagpur,5 to 10 Pre Monsoon (in mbgl)
2020-21,Bihar,Katihar,5 to 10 Pre Monsoon (in mbgl)
2019-20,West Bengal,North 24 Parganas,5 to 10 Pre Monsoon (in mbgl)
2020-21,Karnataka,Hassan,5 to 10 Pre Monsoon (in mbgl)
2019-20,Punjab,Kapurthala,20 to 40 Pre Monsoon (in mbgl)
2021-22,Bihar,Vaishali,2 to 5 Pre Monsoon (in mbgl)
2021-22,Delhi,South Delhi,>40 Pre Monsoon (in mbgl)
2021-22,Jammu and Kashmir,Anantnag,10 to 20 Pre Monsoon (in mbgl)
2019-20,Madhya Pradesh,Alirajpur,5 to 10 Pre Monsoon (in mbgl)
2021-22,Gujarat,Surendranagar,2 to 5 Pre Monsoon (in mbgl)
2020-21,Chhattisgarh,Mungeli,5 to 10 Pre Monsoon (in mbgl)
2021-22,Assam,Hailakandi,2 to 5 Pre Monsoon (in mbgl)
2021-22,Gujarat,Banaskantha,20 to 40 Pre Monsoon (in mbgl)
2019-20,Assam,Dhubri,2 to 5 Pre Monsoon (in mbgl)
2020-21,Madhya Pradesh,Agar Malwa,10 to 20 Pre Monsoon (in mbgl)
2021-22,Meghalaya,West Garo Hills,2 to 5 Pre Monsoon (in mbgl)
2021-22,Maharashtra,Pune,5 to 10 Pre Monsoon (in mbgl)
2019-20,Jharkhand,Gumla,5 to 10 Pre Monsoon (in mbgl)
2019-20,Himachal Pradesh,Solan,20 to 40 Pre Monsoon (in mbgl)
2019-20,Rajasthan,Jhalawar,5 to 10 Pre Monsoon (in mbgl)
2020-21,Assam,Kamrup (Metro),0 to 2 Pre Monsoon (in mbgl)
2020-21,Telangana,Warangal Urban,5 to 10 Pre Monsoon (in mbgl)
2020-21,Assam,Nagaon,2 to 5 Pre Monsoon (in mbgl)
2020-21,Andhra Pradesh,Srikakulam,0 to 2 Pre Monsoon (in mbgl)
2020-21,Assam,Lakhimpur,2 to 5 Pre Monsoon (in mbgl)
2021-22,Haryana,Kaithal,20 to 40 Pre Monsoon (in mbgl)
